DATE,STATION,LONGITUDE,PRCP_ATTRIBUTES,TMAX,ELEVATION,TMAX_ATTRIBUTES,TMIN,PRCP,LATITUDE,NAME,TMIN_ATTRIBUTES
2023-03-21,USW00094728,-73.96925,",,W,2400",17.2,42.7,",,W",4.4,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-03-22,USW00094728,-73.96925,",,W,2400",16.7,42.7,",,W",8.9,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-03-23,USW00094728,-73.96925,",,W,2400",15.6,42.7,",,W",8.9,2.3,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-03-24,USW00094728,-73.96925,",,W,2400",12.8,42.7,",,W",6.7,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-03-25,USW00094728,-73.96925,",,W,2400",8.3,42.7,",,W",5.6,3.8,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-03-26,USW00094728,-73.96925,",,W,2400",17.2,42.7,",,W",6.7,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-03-27,USW00094728,-73.96925,",,W,2400",16.7,42.7,",,W",6.1,7.4,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-03-28,USW00094728,-73.96925,"T,,W,2400",11.1,42.7,",,W",5.6,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-03-29,USW00094728,-73.96925,"T,,W,2400",12.8,42.7,",,W",3.9,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-03-30,USW00094728,-73.96925,",,W,2400",7.8,42.7,",,W",-0.5,0.3,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-03-31,USW00094728,-73.96925,",,W,2400",13.9,42.7,",,W",3.3,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-04-01,USW00094728,-73.96925,",,W,2400",22.2,42.7,",,W",10.6,9.7,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-04-02,USW00094728,-73.96925,",,W,2400",10.6,42.7,",,W",4.4,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-04-03,USW00094728,-73.96925,",,W,2400",15.0,42.7,",,W",3.9,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-04-04,USW00094728,-73.96925,",,W,2400",22.8,42.7,",,W",8.9,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-04-05,USW00094728,-73.96925,",,W,2400",13.9,42.7,",,W",7.8,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-04-06,USW00094728,-73.96925,"T,,W,2400",26.7,42.7,",,W",8.3,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-04-07,USW00094728,-73.96925,",,W,2400",15.6,42.7,",,W",5.6,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-04-08,USW00094728,-73.96925,",,W,2400",12.2,42.7,",,W",2.8,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-04-09,USW00094728,-73.96925,",,W,2400",13.9,42.7,",,W",4.4,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-04-10,USW00094728,-73.96925,",,W,2400",20.0,42.7,",,W",5.6,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-04-11,USW00094728,-73.96925,",,W,2400",23.9,42.7,",,W",10.6,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-04-12,USW00094728,-73.96925,",,W,2400",28.9,42.7,",,W",17.8,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-04-13,USW00094728,-73.96925,",,W,2400",32.2,42.7,",,W",19.4,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-04-14,USW00094728,-73.96925,",,W,2400",32.8,42.7,",,W",21.1,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-04-15,USW00094728,-73.96925,",,W,2400",23.9,42.7,",,W",15.0,0.5,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-04-16,USW00094728,-73.96925,",,W,2400",21.7,42.7,",,W",13.9,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-04-17,USW00094728,-73.96925,"T,,W,2400",20.0,42.7,",,W",11.7,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-04-18,USW00094728,-73.96925,",,W,2400",13.9,42.7,",,W",7.2,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-04-19,USW00094728,-73.96925,",,W,2400",17.8,42.7,",,W",7.2,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-04-20,USW00094728,-73.96925,"T,,W,2400",18.9,42.7,",,W",7.2,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-04-21,USW00094728,-73.96925,",,W,2400",21.7,42.7,",,W",10.6,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-04-22,USW00094728,-73.96925,",,W,2400",19.4,42.7,",,W",10.6,17.3,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-04-23,USW00094728,-73.96925,",,W,2400",20.6,42.7,",,W",10.0,38.4,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-04-24,USW00094728,-73.96925,",,W,2400",16.7,42.7,",,W",6.7,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-04-25,USW00094728,-73.96925,",,W,2400",15.6,42.7,",,W",7.8,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-04-26,USW00094728,-73.96925,",,W,2400",15.6,42.7,",,W",7.8,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-04-27,USW00094728,-73.96925,",,W,2400",13.9,42.7,",,W",9.4,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-04-28,USW00094728,-73.96925,",,W,2400",13.3,42.7,",,W",8.3,8.4,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-04-29,USW00094728,-73.96925,",,W,2400",11.7,42.7,",,W",8.3,62.5,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-04-30,USW00094728,-73.96925,",,W,2400",15.6,42.7,",,W",10.0,58.9,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-05-01,USW00094728,-73.96925,",,W,2400",16.1,42.7,",,W",9.4,2.3,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-05-02,USW00094728,-73.96925,",,W,2400",13.3,42.7,",,W",6.7,6.4,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-05-03,USW00094728,-73.96925,"T,,W,2400",13.9,42.7,",,W",8.3,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-05-04,USW00094728,-73.96925,",,W,2400",12.8,42.7,",,W",8.9,1.3,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-05-05,USW00094728,-73.96925,",,W,2400",18.9,42.7,",,W",8.9,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-05-06,USW00094728,-73.96925,",,W,2400",22.8,42.7,",,W",8.9,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-05-07,USW00094728,-73.96925,",,W,2400",25.6,42.7,",,W",12.2,0.5,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-05-08,USW00094728,-73.96925,"T,,W,2400",25.0,42.7,",,W",14.4,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-05-09,USW00094728,-73.96925,",,W,2400",21.7,42.7,",,W",12.2,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-05-10,USW00094728,-73.96925,",,W,2400",22.8,42.7,",,W",10.0,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-05-11,USW00094728,-73.96925,",,W,2400",26.7,42.7,",,W",13.9,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-05-12,USW00094728,-73.96925,",,W,2400",30.6,42.7,",,W",18.3,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-05-13,USW00094728,-73.96925,",,W,2400",27.8,42.7,",,W",18.9,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-05-14,USW00094728,-73.96925,",,W,2400",23.3,42.7,",,W",15.0,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-05-15,USW00094728,-73.96925,",,W,2400",23.3,42.7,",,W",11.1,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-05-16,USW00094728,-73.96925,",,W,2400",26.1,42.7,",,W",14.4,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-05-17,USW00094728,-73.96925,",,W,2400",20.6,42.7,",,W",10.0,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-05-18,USW00094728,-73.96925,",,W,2400",16.1,42.7,",,W",6.1,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-05-19,USW00094728,-73.96925,",,W,2400",21.1,42.7,",,W",11.1,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
